kgld_id,title,alt_names,oblast,district,ccode,latitude,longitude,geometry_captured,observation_years,aat_type,kgld_origin,mchs_catalog_id,basin,mountain_range,record_status,close_match,ramsar_ris,source_note
KGLD-L0048,Issyktor Lake,Иссыктор,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-60,Dzhergez,,verified_partial,,,Published reference values: elevation 3125 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0049,Kel-Tor Lake (Dzhergez),Кель-Тор,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-62,Dzhergez,,verified_partial,,,Published reference values: elevation 3125 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0050,Tuyuktor Lake,Туюктор,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-65,Dzhergez,,verified_partial,,,Published reference values: elevation 3400 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0051,Torgenaksu Lake 1,Торгенаксу-1,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-85,Torgen-Ak-Suu,,verified_partial,,,Published reference values: elevation 3660 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0052,Torgenaksu Lake 2,Торгенаксу-2,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine_glacial,I-86,Torgen-Ak-Suu,,verified_partial,,,Published reference values: elevation 3750 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0053,Tuyuktor Small Lakes (catalog complex),Туюктор малые,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-129,Torgen-Ak-Suu,,verified_partial,,,Published reference values: elevation 3780 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0054,Jyrgalan Lake 2,Джергалан-2,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-103,Jyrgalan,,verified_partial,,,Published reference values: elevation 3180 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0055,Sharkyratma Lake 3 (Tyup),Шаркыратма-3.Тюп.,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-138,Jyrgalan,,verified_partial,,,Published reference values: elevation 3480 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0056,Dzherges Lake 2,Джергес-2,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-105,Tyup,,verified_partial,,,Published reference values: elevation 3833 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0057,Dzherges Lake 1,Джергес-1,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-104,Tyup,,verified_partial,,,Published reference values: elevation 3873 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0058,Upper Kyzyl-Tor Lake,Кызылтор верх.,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-120,Tyup,,verified_partial,,,Published reference values: elevation 3360 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0059,Lower Kyzyl-Tor Lake,Кызылтор нижн.,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-121,Tyup,,verified_partial,,,Published reference values: elevation 3360 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0060,Left Taigak Lake,Тайгак-левое,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-122,Tyup,,verified_partial,,,Published reference values: elevation 3480 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0061,Right Taigak Lake,Тайгак-правое,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine,I-123,Tyup,,verified_partial,,,Published reference values: elevation 3450 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0062,Chakyrkorum Lake,Чакыркорум,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-130,Tyup,,verified_partial,,,Published reference values: elevation 3850 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0063,Upper Ukok Lake,Укок верхнее,Naryn,,KG,,,,2025,aat:300008680,moraine_glacial,N-20,Kel-Ukek,,verified_partial,,,Published reference values: elevation 3730 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 6: Naryn Region — forecast of possible activation of outburst-hazardous lakes (2025).
KGLD-L0064,East Karakum Lake,Каракум-вост.,Naryn,,KG,,,,2025,aat:300008680,moraine_glacial,N-18,Karakum–Kel-Ukök,,verified_partial,,,Published reference values: elevation 3680 m; volume 0.000100 km³. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 6: Naryn Region — forecast of possible activation of outburst-hazardous lakes (2025).
KGLD-L0065,Upper Karakum Lake,Каракум-верхнее,Naryn,,KG,,,,2025,aat:300008680,moraine_glacial,N-6,Karakum–Kel-Ukök,,verified_partial,,,Published reference values: elevation 3590 m; volume 0.000250 km³. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 6: Naryn Region — forecast of possible activation of outburst-hazardous lakes (2025).
KGLD-L0066,Buzulgansuu (Shamsy) Lake,Бузулгансу (Шамсы),Naryn,,KG,,,,2025,aat:300008680,moraine_glacial,N-14,Buzilgan-Suu–Shamsy,,verified_partial,,,Published reference values: elevation 3704 m; volume 0.000100 km³. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 6: Naryn Region — forecast of possible activation of outburst-hazardous lakes (2025).
KGLD-L0067,Small Kulun Lake,Small Kulun Lake,Osh,Kara-Kulja,KG,,,,,aat:300008680,landslide_dammed,,Kulun / Tar,Fergana Range,verified_partial,,,Published reference values: surface area 0.45 km². Sources: Bolshaya Rossiyskaya Entsiklopediya — Kulun (2023).
KGLD-L0068,Middle Kulun Lake,,Osh,Kara-Kulja,KG,,,,,aat:300008680,,,Kulun / Tar,Fergana Range,verified_partial,,,
KGLD-L0070,Kashkasuu Glacial Lake,,Issyk-Kul,,KG,,,,2006,aat:300008680;aat:300387086,short_lived,,Kashkasuu / western Teskey,Teskey Ala-Too,verified_partial,,,
KGLD-L0071,Jeruy Glacial Lake,,Issyk-Kul,,KG,,,,2013,aat:300008680;aat:300387086,short_lived,,Jeruy / western Teskey,Teskey Ala-Too,verified_partial,,,
KGLD-L0072,Karateke Glacial Lake,,Issyk-Kul,,KG,,,,2014,aat:300008680;aat:300387086,short_lived,,Karateke / western Teskey,Teskey Ala-Too,verified_partial,,,
KGLD-L0073,Toguz-Bulak Glacial Lake,,Issyk-Kul,,KG,,,,2019,aat:300008680;aat:300387086,seasonally_recurrent,,Toguz-Bulak / Tosor,Teskey Ala-Too,verified_partial,,,
KGLD-F0001,Hamilton 1,Southern Inylchek supraglacial Lake 1,,,KG,,,,"2017,2018",aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 1 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 4 documented drainage event(s) between 2017-07-24 and 2018-07-18, of which 2 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0003,Hamilton 3,Southern Inylchek supraglacial Lake 3,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 3 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 1 documented drainage event(s) between 2018-07-16 and 2018-07-16."
KGLD-F0004,Hamilton 4,Southern Inylchek supraglacial Lake 4,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 4 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 2 documented drainage event(s) between 2018-05-12 and 2018-07-18, of which 2 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0005,Hamilton 5,Southern Inylchek supraglacial Lake 5,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 5 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 2 documented drainage event(s) between 2018-05-12 and 2018-07-18, of which 2 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0007,Hamilton 7,Southern Inylchek supraglacial Lake 7,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 7 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 2 documented drainage event(s) between 2018-05-12 and 2018-07-18, of which 2 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0008,Hamilton 8,Southern Inylchek supraglacial Lake 8,,,KG,,,,"2017,2018",aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 8 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 3 documented drainage event(s) between 2017-07-25 and 2018-07-18, of which 2 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0009,Hamilton 9,Southern Inylchek supraglacial Lake 9,,,KG,,,,2017,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,
KGLD-F0014,Hamilton 14,Southern Inylchek supraglacial Lake 14,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 14 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 1 documented drainage event(s) between 2018-07-17 and 2018-07-18, of which 1 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
KGLD-F0015,Hamilton 15,Southern Inylchek supraglacial Lake 15,,,KG,,,,2018,aat:300008680;aat:300387086,supraglacial_lake,,,Southern Inylchek Glacier,study_local_feature,,,"Ephemeral supraglacial lake on the Southern Inylchek Glacier, study-local lake 15 of Sakurai, N.; Narama, C.; Daiyrov, M.; Esenamanov, M.; Usekov, Z.; Inoue, H. — Simultaneous drainage events from supraglacial lakes on the southern Inylchek Glacier, Central Asia (2022). 1 documented drainage event(s) between 2018-07-17 and 2018-07-18, of which 1 drained simultaneously with other lakes on the same glacier through a shared englacial conduit network."
