
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
|  jam  |   LATIN    |     39,196 | Jamaican Creole English                                    |   jam-Latn  |      EPITRAN       |
|  bam  |   LATIN    |     38,413 | Bambara                                                    |   bam-Latn  |      EPITRAN       |
|  vmf  |   LATIN    |     37,608 | Mainfränkisch                                              |   vmf-Latn  |      EPITRAN       |
|  gan  |    CJK     |     37,097 | Gan Chinese                                                |     None    |     GAP (ByT5)     |
|  frc  |   LATIN    |     37,096 | Cajun French                                               |   frc-Latn  |      EPITRAN       |
|  yor  |   LATIN    |     37,076 | Yoruba                                                     |   yor-Latn  |      EPITRAN       |
|  prg  |   LATIN    |     37,032 | Prussian                                                   |   prg-Latn  |      EPITRAN       |
|  rgn  |   LATIN    |     36,798 | Romagnol                                                   |   rgn-Latn  |      EPITRAN       |
|  tgk  |  CYRILLIC  |     35,979 | Tajik                                                      |   tgk-Cyrl  |      EPITRAN       |
|  uzb  |  CYRILLIC  |     34,840 | Uzbek                                                      |   uzb-Cyrl  |      EPITRAN       |
|  bak  |  CYRILLIC  |     34,532 | Bashkir                                                    |   bak-Cyrl  |      EPITRAN       |
|  kir  |  CYRILLIC  |     33,414 | Kirghiz                                                    |   kir-Cyrl  |      EPITRAN       |
|  yue  |    CJK     |     31,345 | Yue Chinese                                                |     None    |     GAP (ByT5)     |
|  bug  |   LATIN    |     29,584 | Buginese                                                   |   bug-Latn  |      EPITRAN       |
|  glk  |   ARABIC   |     29,117 | Gilaki                                                     |   glk-Arab  |      EPITRAN       |
|  bos  |   LATIN    |     29,072 | Bosnian                                                    |   bos-Latn  |      EPITRAN       |
|  mzn  |   ARABIC   |     27,365 | Mazanderani                                                |   mzn-Arab  |      EPITRAN       |
|  eng  |   OTHER    |     25,547 | English                                                    |     None    |     GAP (ByT5)     |
|  mar  | DEVANAGARI |     24,452 | Marathi                                                    |   mar-Deva  |      EPITRAN       |
|  chv  |  CYRILLIC  |     24,242 | Chuvash                                                    |   chv-Cyrl  |      EPITRAN       |
|  pnb  |   ARABIC   |     23,202 | Western Panjabi                                            |   pnb-Arab  |      EPITRAN       |
|  diq  |   LATIN    |     21,529 | Dimli (individual language)                                |   diq-Latn  |      EPITRAN       |
|  bjn  |   LATIN    |     21,301 | Banjar                                                     |   bjn-Latn  |      EPITRAN       |
|  kan  |  KANNADA   |     20,965 | Kannada                                                    |   kan-Knda  | EPITRAN (Inferred) |
|  ban  |   LATIN    |     20,491 | Balinese                                                   |   ban-Latn  |      EPITRAN       |
|  guj  |  GUJARATI  |     20,333 | Gujarati                                                   |   guj-Gujr  |      EPITRAN       |
|  fij  |   LATIN    |     19,588 | Fijian                                                     |   fij-Latn  |      EPITRAN       |
|  crh  |   LATIN    |     19,389 | Crimean Tatar                                              |   crh-Latn  |      EPITRAN       |
|  gor  |   LATIN    |     18,100 | Gorontalo                                                  |   gor-Latn  |      EPITRAN       |
|  hau  |   LATIN    |     18,035 | Hausa                                                      |   hau-Latn  |      EPITRAN       |
|  hat  |   LATIN    |     17,832 | Haitian                                                    |   hat-Latn  |      EPITRAN       |
|  bpy  |  BENGALI   |     17,586 | Bishnupriya                                                |   bpy-Beng  |      EPITRAN       |
|  new  | DEVANAGARI |     17,332 | Newari                                                     |   new-Deva  |      EPITRAN       |
|  mya  |   LATIN    |     17,327 | Burmese                                                    |   mya-Latn  |      EPITRAN       |
|  hsb  |   LATIN    |     16,860 | Upper Sorbian                                              |   hsb-Latn  |      EPITRAN       |
|  ibo  |   LATIN    |     16,445 | Igbo                                                       |   ibo-Latn  |      EPITRAN       |
|  fry  |   LATIN    |     16,022 | Western Frisian                                            |   fry-Latn  |      EPITRAN       |
|  ckb  |   ARABIC   |     14,624 | Central Kurdish                                            |   ckb-Arab  |      EPITRAN       |
|  pan  |   OTHER    |     14,551 | Panjabi                                                    |     None    |     GAP (ByT5)     |
|  sin  |   OTHER    |     14,217 | Sinhala                                                    |     None    |     GAP (ByT5)     |
|  yue  |   LATIN    |     13,719 | Yue Chinese                                                |   yue-Latn  |      EPITRAN       |
|  lao  |   LATIN    |     13,212 | Lao                                                        |   lao-Latn  |      EPITRAN       |
|  szl  |   LATIN    |     13,059 | Silesian                                                   |   szl-Latn  |      EPITRAN       |
|  sat  |   OTHER    |     12,626 | Santali                                                    |     None    |     GAP (ByT5)     |
|  oss  |  CYRILLIC  |     12,536 | Ossetian                                                   |   oss-Cyrl  |      EPITRAN       |
|  que  |   LATIN    |     12,289 | Quechua                                                    |   que-Latn  |      EPITRAN       |
|  som  |   LATIN    |     12,184 | Somali                                                     |   som-Latn  |      EPITRAN       |
|  khm  |   LATIN    |     12,060 | Khmer                                                      |   khm-Latn  |      EPITRAN       |
|  sgs  |   LATIN    |     11,626 | Samogitian                                                 |   sgs-Latn  |      EPITRAN       |
|  frr  |   LATIN    |     11,248 | Northern Frisian                                           |   frr-Latn  |      EPITRAN       |
|  nep  | DEVANAGARI |     10,621 | Nepali (macrolanguage)                                     |   nep-Deva  |      EPITRAN       |
|  kur  |   ARABIC   |     10,518 | Kurdish                                                    |   kur-Arab  |      EPITRAN       |
|  khm  |   OTHER    |      9,657 | Khmer                                                      |     None    |     GAP (ByT5)     |
|  mri  |   LATIN    |      9,114 | Maori                                                      |   mri-Latn  |      EPITRAN       |
|  mlt  |   LATIN    |      8,597 | Maltese                                                    |   mlt-Latn  |      EPITRAN       |
|  tah  |   LATIN    |      8,300 | Tahitian                                                   |     None    |     GAP (ByT5)     |
|  ceb  |  CYRILLIC  |      8,298 | Cebuano                                                    |     None    |     GAP (ByT5)     |
|  rup  |   LATIN    |      8,272 | Macedo-Romanian                                            |     None    |     GAP (ByT5)     |
|  smn  |   LATIN    |      8,003 | Inari Sami                                                 |     None    |     GAP (ByT5)     |
|  bod  |   OTHER    |      7,998 | Tibetan                                                    |     None    |     GAP (ByT5)     |
|  ang  |   LATIN    |      7,880 | Old English (ca. 450-1100)                                 |     None    |     GAP (ByT5)     |
|  bod  |   LATIN    |      7,633 | Tibetan                                                    |     None    |     GAP (ByT5)     |
|  mul  |    CJK     |      7,576 | Multiple languages                                         |     None    |     GAP (ByT5)     |
|  cor  |   LATIN    |      7,390 | Cornish                                                    |     None    |     GAP (ByT5)     |
|  xmf  |  GEORGIAN  |      7,026 | Mingrelian                                                 |     None    |     GAP (ByT5)     |
|  ori  |   OTHER    |      6,907 | Oriya (macrolanguage)                                      |     None    |     GAP (ByT5)     |
|  pam  |   LATIN    |      6,629 | Pampanga                                                   |     None    |     GAP (ByT5)     |
|  shn  |   OTHER    |      5,952 | Shan                                                       |     None    |     GAP (ByT5)     |
|  bcl  |   LATIN    |      5,943 | Central Bikol                                              |     None    |     GAP (ByT5)     |
|  mon  |  CYRILLIC  |      5,726 | Mongolian                                                  |     None    |     GAP (ByT5)     |
|  zea  |   LATIN    |      5,685 | Zeeuws                                                     |     None    |     GAP (ByT5)     |
|  ilo  |   LATIN    |      5,649 | Iloko                                                      |   ilo-Latn  |      EPITRAN       |
|  dag  |   LATIN    |      5,625 | Dagbani                                                    |     None    |     GAP (ByT5)     |
|  yid  |   HEBREW   |      5,362 | Yiddish                                                    |     None    |     GAP (ByT5)     |
|  mai  | DEVANAGARI |      5,313 | Maithili                                                   |     None    |     GAP (ByT5)     |
|  pus  |   ARABIC   |      5,301 | Pushto                                                     |     None    |     GAP (ByT5)     |
|  hbs  |  CYRILLIC  |      5,250 | Serbo-Croatian                                             |     None    |     GAP (ByT5)     |
|  hak  |   LATIN    |      5,226 | Hakka Chinese                                              |   hak-Latn  |      EPITRAN       |
|  bho  | DEVANAGARI |      5,142 | Bhojpuri                                                   |   bho-Deva  |      EPITRAN       |
|  mdf  |  CYRILLIC  |      5,052 | Moksha                                                     |     None    |     GAP (ByT5)     |
|  kaa  |   LATIN    |      4,995 | Kara-Kalpak                                                |     None    |     GAP (ByT5)     |
|  tum  |   LATIN    |      4,945 | Tumbuka                                                    |     None    |     GAP (ByT5)     |
|  haw  |   LATIN    |      4,604 | Hawaiian                                                   |     None    |     GAP (ByT5)     |
|  dsb  |   LATIN    |      4,576 | Lower Sorbian                                              |     None    |     GAP (ByT5)     |
|  cdo  |   LATIN    |      4,511 | Min Dong Chinese                                           |     None    |     GAP (ByT5)     |
|  glv  |   LATIN    |      4,488 | Manx                                                       |     None    |     GAP (ByT5)     |
|  vep  |   LATIN    |      4,412 | Veps                                                       |     None    |     GAP (ByT5)     |
|  gpe  |   LATIN    |      4,366 | Ghanaian Pidgin English                                    |     None    |     GAP (ByT5)     |
|  mhr  |  CYRILLIC  |      4,353 | Eastern Mari                                               |     None    |     GAP (ByT5)     |
|  aym  |   LATIN    |      4,276 | Aymara                                                     |     None    |     GAP (ByT5)     |
|  lad  |   LATIN    |      4,249 | Ladino                                                     |     None    |     GAP (ByT5)     |
|  tet  |   LATIN    |      4,249 | Tetum                                                      |     None    |     GAP (ByT5)     |
|  hyw  |  ARMENIAN  |      4,237 | Western Armenian                                           |   hyw-Armn  |      EPITRAN       |
|  ful  |   LATIN    |      4,236 | Fulah                                                      |   ful-Latn  |      EPITRAN       |
|  ary  |   ARABIC   |      4,188 | Moroccan Arabic                                            |     None    |     GAP (ByT5)     |
|  uig  |   ARABIC   |      4,175 | Uighur                                                     |   uig-Arab  |      EPITRAN       |
|  tly  |   LATIN    |      4,104 | Talysh                                                     |     None    |     GAP (ByT5)     |
|  myv  |  CYRILLIC  |      4,083 | Erzya                                                      |     None    |     GAP (ByT5)     |
