
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
|  aze  |   LATIN    |     58,431 | Azerbaijani                                                |   aze-Latn  |      EPITRAN       |
|  lmo  |   LATIN    |     57,985 | Lombard                                                    |   lmo-Latn  |    EPITRAN-EXT     |
|  ace  |   LATIN    |     54,279 | Achinese                                                   |   ace-Latn  |    EPITRAN-EXT     |
|  jav  |   LATIN    |     54,046 | Javanese                                                   |   jav-Latn  |      EPITRAN       |
|  tam  |   TAMIL    |     52,434 | Tamil                                                      |   tam-Taml  | EPITRAN (Inferred) |
|  tel  |   TELUGU   |     51,402 | Telugu                                                     |   tel-Telu  | EPITRAN (Inferred) |
|  wuu  |    CJK     |     48,927 | Wu Chinese                                                 |     None    |      CHARSIU       |
|  kaz  |   ARABIC   |     48,076 | Kazakh                                                     |   kaz-Arab  |    EPITRAN-EXT     |
|  sme  |   LATIN    |     46,824 | Northern Sami                                              |   sme-Latn  |    EPITRAN-EXT     |
|  pap  |   LATIN    |     46,355 | Papiamento                                                 |   pap-Latn  |    EPITRAN-EXT     |
|  kab  |   LATIN    |     46,025 | Kabyle                                                     |   kab-Latn  |      EPITRAN       |
|  sun  |   LATIN    |     44,039 | Sundanese                                                  |   sun-Latn  |    EPITRAN-EXT     |
|  fil  |   LATIN    |     43,663 | Filipino                                                   |   fil-Latn  |    EPITRAN-EXT     |
|  fao  |   LATIN    |     42,926 | Faroese                                                    |   fao-Latn  |    EPITRAN-EXT     |
|  kan  |  KANNADA   |     42,739 | KAN (script default)                                       |   kan-Knda  | EPITRAN (Inferred) |
|  kal  |   LATIN    |     40,205 | Kalaallisut                                                |   kal-Latn  |    EPITRAN-EXT     |
|  jam  |   LATIN    |     39,201 | Jamaican Creole English                                    |   jam-Latn  |      EPITRAN       |
|  bam  |   LATIN    |     38,440 | Bambara                                                    |   bam-Latn  |    EPITRAN-EXT     |
|  vmf  |   LATIN    |     37,612 | Mainfränkisch                                              |   vmf-Latn  |    EPITRAN-EXT     |
|  tgk  |  CYRILLIC  |     37,567 | Tajik                                                      |   tgk-Cyrl  |      EPITRAN       |
|  frc  |   LATIN    |     37,293 | Cajun French                                               |   frc-Latn  |    EPITRAN-EXT     |
|  gan  |    CJK     |     37,127 | Gan Chinese                                                |     None    |      CHARSIU       |
|  yor  |   LATIN    |     37,106 | Yoruba                                                     |   yor-Latn  |      EPITRAN       |
|  prg  |   LATIN    |     37,041 | Prussian                                                   |   prg-Latn  |    EPITRAN-EXT     |
|  rgn  |   LATIN    |     36,807 | Romagnol                                                   |   rgn-Latn  |    EPITRAN-EXT     |
|  uzb  |  CYRILLIC  |     35,137 | Uzbek                                                      |   uzb-Cyrl  |      EPITRAN       |
|  bak  |  CYRILLIC  |     34,754 | Bashkir                                                    |   bak-Cyrl  |    EPITRAN-EXT     |
|  kir  |  CYRILLIC  |     34,382 | Kirghiz                                                    |   kir-Cyrl  |      EPITRAN       |
|  yue  |    CJK     |     32,560 | Yue Chinese                                                |     None    |      CHARSIU       |
|  bos  |   LATIN    |     30,134 | Bosnian                                                    |   bos-Latn  |    EPITRAN-EXT     |
|  bug  |   LATIN    |     29,604 | Buginese                                                   |   bug-Latn  |    EPITRAN-EXT     |
|  glk  |   ARABIC   |     29,133 | Gilaki                                                     |   glk-Arab  |    EPITRAN-EXT     |
|  mzn  |   ARABIC   |     27,392 | Mazanderani                                                |   mzn-Arab  |    EPITRAN-EXT     |
|  mar  | DEVANAGARI |     26,661 | Marathi                                                    |   mar-Deva  |      EPITRAN       |
|  eng  |   OTHER    |     25,627 | English                                                    |     None    |     UNHANDLED      |
|  chv  |  CYRILLIC  |     25,517 | Chuvash                                                    |   chv-Cyrl  |    EPITRAN-EXT     |
|  pnb  |   ARABIC   |     23,532 | Western Panjabi                                            |   pnb-Arab  |    EPITRAN-EXT     |
|  diq  |   LATIN    |     21,579 | Dimli (individual language)                                |   diq-Latn  |    EPITRAN-EXT     |
|  guj  |  GUJARATI  |     21,419 | Gujarati                                                   |   guj-Gujr  |    EPITRAN-EXT     |
|  bjn  |   LATIN    |     21,307 | Banjar                                                     |   bjn-Latn  |    EPITRAN-EXT     |
|  ban  |   LATIN    |     20,494 | Balinese                                                   |   ban-Latn  |    EPITRAN-EXT     |
|  und  |   ARABIC   |     20,425 | Undetermined                                               |     None    |  NEEDS_DETECTION   |
|  fij  |   LATIN    |     19,607 | Fijian                                                     |   fij-Latn  |    EPITRAN-EXT     |
|  crh  |   LATIN    |     19,557 | Crimean Tatar                                              |   crh-Latn  |    EPITRAN-EXT     |
|  ckb  |   ARABIC   |     18,596 | Central Kurdish                                            |   ckb-Arab  |      EPITRAN       |
|  hsb  |   LATIN    |     18,555 | Upper Sorbian                                              |   hsb-Latn  |    EPITRAN-EXT     |
|  hat  |   LATIN    |     18,163 | Haitian                                                    |   hat-Latn  |    EPITRAN-EXT     |
|  gor  |   LATIN    |     18,100 | Gorontalo                                                  |   gor-Latn  |    EPITRAN-EXT     |
|  hau  |   LATIN    |     18,058 | Hausa                                                      |   hau-Latn  |      EPITRAN       |
|  bpy  |  BENGALI   |     17,592 | Bishnupriya                                                |   bpy-Beng  |    EPITRAN-EXT     |
|  mya  |   LATIN    |     17,372 | Burmese                                                    |   mya-Latn  |    EPITRAN-EXT     |
|  new  | DEVANAGARI |     17,362 | Newari                                                     |   new-Deva  |    EPITRAN-EXT     |
|  ibo  |   LATIN    |     16,466 | Igbo                                                       |   ibo-Latn  |    EPITRAN-EXT     |
|  mri  |   LATIN    |     16,398 | Maori                                                      |   mri-Latn  |      EPITRAN       |
|  fry  |   LATIN    |     16,375 | Western Frisian                                            |   fry-Latn  |      EPITRAN       |
|  nep  | DEVANAGARI |     15,965 | Nepali (macrolanguage)                                     |   nep-Deva  |    EPITRAN-EXT     |
|  yue  |   LATIN    |     15,778 | Yue Chinese                                                |   yue-Latn  |      EPITRAN       |
|  pan  |   OTHER    |     15,032 | Panjabi                                                    |   pan-Guru  |    EPITRAN-EXT     |
|  sin  |   OTHER    |     14,527 | Sinhala                                                    |   sin-Sinh  |    EPITRAN-EXT     |
|  lao  |   LATIN    |     13,405 | Lao                                                        |   lao-Latn  |    EPITRAN-EXT     |
|  szl  |   LATIN    |     13,274 | Silesian                                                   |   szl-Latn  |    EPITRAN-EXT     |
|  oss  |  CYRILLIC  |     12,903 | Ossetian                                                   |   oss-Cyrl  |    EPITRAN-EXT     |
|  sat  |   OTHER    |     12,873 | Santali                                                    |   sat-Olck  |    EPITRAN-EXT     |
|  que  |   LATIN    |     12,385 | Quechua                                                    |   que-Latn  |    EPITRAN-EXT     |
|  som  |   LATIN    |     12,267 | Somali                                                     |   som-Latn  |      EPITRAN       |
|  khm  |   LATIN    |     12,163 | Khmer                                                      |   khm-Latn  |    EPITRAN-EXT     |
|  bod  |   OTHER    |     11,812 | Tibetan                                                    |   bod-Tibt  |    EPITRAN-EXT     |
|  sgs  |   LATIN    |     11,631 | Samogitian                                                 |   sgs-Latn  |    EPITRAN-EXT     |
|  frr  |   LATIN    |     11,473 | Northern Frisian                                           |   frr-Latn  |    EPITRAN-EXT     |
|  kor  |    CJK     |     11,140 | Korean                                                     |   kor-Hani  |    EPITRAN-EXT     |
